name,xPos,xposName,access,latest,owner,statisticalSector,questionnaire,geographicCoverage,sampleSize,disaggregationAge,disaggregationLocation,sourceType,url
National Development Plan,0,Indicator Framework,,,,,,,,,,,
Africa 2063,0,Indicator Framework,,,,,,,,,,,
SDGs,0,Indicator Framework,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/
World Development Indicators,0,Indicator Framework,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
1: no poverty,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
2: zero hunger,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
3: good heath and well-being,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
4: quality education,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
5: gender equality,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
6: clean water and sanitation,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
7: affordable and clean energy,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
8: decent work and economic growth,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
9: industry innovation and infrastructure,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
10: reduced inequality,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
11: sustainable cities and communities,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
12: responsible consumption and production,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
13: climate action,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
14: life below water,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
15: life on land,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
16: peace justice and strong institutions,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
17: partnerships for the goals,1,Goal,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-goals/
1.a.3: Sum of total grants and non-debt-creating inflows directly allocated to poverty reduction programmes as a proportion of GDP,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"1.b.1: Proportion of government recurrent and capital spending to sectors that disproportionately benefit women, the poor and vulnerable groups",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"1.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
1.5.3: Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
1.5.4: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
2.1.1: Prevalence of undernourishment,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"2.1.2: Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
2.2.1: Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"2.2.2: Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
2.3.1: Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"2.3.2: Average income of small-scale food producers, by sex and indigenous status",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
2.4.1: Proportion of agricultural area under productive and sustainable agriculture,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
2.5.1: Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"2.5.2: Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
2.a.1: The agriculture orientation index for government expenditures,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
2.a.2: Total official flows (official development assistance plus other official flows) to the agriculture sector,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
2.b.1: Agricultural export subsidies,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
2.c.1: Indicator of food price anomalies,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
3.1.1: Maternal mortality ratio,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
3.1.2: Proportion of births attended by skilled health personnel,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
3.2.1: Under-five mortality rate,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
3.2.2: Neonatal mortality rate,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"3.3.1: Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"3.3.2: Tuberculosis incidence per 100,000 population",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"3.3.3: Malaria incidence per 1,000 population",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"3.3.4: Hepatitis B incidence per 100,000 population",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
3.3.5: Number of people requiring interventions against neglected tropical diseases,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"3.4.1: Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
3.4.2: Suicide mortality rate,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"3.5.1: Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"3.5.2: Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
3.6.1: Death rate due to road traffic injuries,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
3.7.1: Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"3.7.2: Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
"3.8.1: Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",2,Indicator,,,,,,,,,,,https://devinit.knack.com/dda-ug#sdgs/sdg-indicators/
